year,csd,boro,enrollment_csd,enrollment_boro,enrollment_nyc,classroom_csd,classroom_boro,classroom_nyc,support_csd,support_boro,support_nyc,leadership_csd,leadership_boro,leadership_nyc,ancillary_csd,ancillary_boro,ancillary_nyc,building_csd,building_boro,building_nyc,grand_total_csd,grand_total_boro,grand_total_nyc,weight
2006,14,Brooklyn,19544,318842,1055986,9088.757412582,8127.150390625,8658.904296875,2049.387757075,1800.757202148,2081.853027344,1679.397578998,1331.838378906,1446.333862305,1374.124718268,1284.643310547,1548.876586914,1380.151750522,1138.481933594,1172.259887695,17960.29819584,15995.13769531,17248.0390625,0.0612968
2006,15,Brooklyn,26208,318842,1055986,8427.02011486,8127.150390625,8658.904296875,1896.036598563,1800.757202148,2081.853027344,1280.707035475,1331.838378906,1446.333862305,1187.198592888,1284.643310547,1548.876586914,1230.501770691,1138.481933594,1172.259887695,16400.10107471,15995.13769531,17248.0390625,0.0821975
2006,16,Brooklyn,14584,318842,1055986,8085.046793497,8127.150390625,8658.904296875,1833.687498976,1800.757202148,2081.853027344,1337.129041301,1331.838378906,1446.333862305,1192.747069846,1284.643310547,1548.876586914,1322.855408958,1138.481933594,1172.259887695,16148.37248561,15995.13769531,17248.0390625,0.0457405
2006,17,Brooklyn,31272,318842,1055986,8813.418740755,8127.150390625,8658.904296875,1983.562375918,1800.757202148,2081.853027344,1528.301579946,1331.838378906,1446.333862305,1371.671279322,1284.643310547,1548.876586914,1194.569945606,1138.481933594,1172.259887695,17158.62933335,15995.13769531,17248.0390625,0.0980799
2006,18,Brooklyn,24092,318842,1055986,7337.408204783,8127.150390625,8658.904296875,1859.797713253,1800.757202148,2081.853027344,1205.615363326,1331.838378906,1446.333862305,1283.604545498,1284.643310547,1548.876586914,1192.194993583,1138.481933594,1172.259887695,15173.64874963,15995.13769531,17248.0390625,0.0755609
2006,19,Brooklyn,30531,318842,1055986,8679.177037586,8127.150390625,8658.904296875,1742.704868348,1800.757202148,2081.853027344,1496.333091072,1331.838378906,1446.333862305,1413.287601931,1284.643310547,1548.876586914,1086.691689237,1138.481933594,1172.259887695,16804.54102428,15995.13769531,17248.0390625,0.0957559
2006,20,Brooklyn,41899,318842,1055986,7767.259653883,8127.150390625,8658.904296875,1584.956733284,1800.757202148,2081.853027344,1118.889326488,1331.838378906,1446.333862305,1311.022966665,1284.643310547,1548.876586914,864.6396940207,1138.481933594,1172.259887695,14892.35553083,15995.13769531,17248.0390625,0.1314099
2006,21,Brooklyn,36650,318842,1055986,7947.173641558,8127.150390625,8658.904296875,1792.598484918,1800.757202148,2081.853027344,1215.174366768,1331.838378906,1446.333862305,1293.834122203,1284.643310547,1548.876586914,1011.728391846,1138.481933594,1172.259887695,15564.42798763,15995.13769531,17248.0390625,0.1149472
2006,22,Brooklyn,41539,318842,1055986,7108.797141642,8127.150390625,8658.904296875,1682.017520676,1800.757202148,2081.853027344,1103.299215232,1331.838378906,1446.333862305,1138.943748269,1284.643310547,1548.876586914,880.3258821329,1138.481933594,1172.259887695,14137.67576667,15995.13769531,17248.0390625,0.1302808
2006,23,Brooklyn,13258,318842,1055986,8531.151206613,8127.150390625,8658.904296875,1880.141618456,1800.757202148,2081.853027344,1507.197528073,1331.838378906,1446.333862305,1570.200979813,1284.643310547,1548.876586914,1444.865581469,1138.481933594,1172.259887695,17259.0311689,15995.13769531,17248.0390625,0.0415817
2006,32,Brooklyn,17548,318842,1055986,8827.386684467,8127.150390625,8658.904296875,1940.234105245,1800.757202148,2081.853027344,1650.173515903,1331.838378906,1446.333862305,1237.196541358,1284.643310547,1548.876586914,1208.702515583,1138.481933594,1172.259887695,17184.23694361,15995.13769531,17248.0390625,0.0550367
2006,1,Manhattan,11110,154355,1055986,9131.651611138,8275.526367188,8658.904296875,2354.568026662,1973.256103516,2081.853027344,1379.952754941,1484.174194336,1446.333862305,1354.742169801,1141.760742188,1548.876586914,1448.879223982,1402.28125,1172.259887695,17990.85670371,16650.60546875,17248.0390625,0.0719769
2006,2,Manhattan,59293,154355,1055986,7497.758522388,8275.526367188,8658.904296875,1782.10478701,1973.256103516,2081.853027344,1419.712281476,1484.174194336,1446.333862305,981.838749408,1141.760742188,1548.876586914,1485.765697253,1402.28125,1172.259887695,15505.18152111,16650.60546875,17248.0390625,0.384134
2006,3,Manhattan,23688,154355,1055986,7989.39867102,8275.526367188,8658.904296875,2037.168420185,1973.256103516,2081.853027344,1506.632573898,1484.174194336,1446.333862305,1037.252927991,1141.760742188,1548.876586914,1377.544298225,1402.28125,1172.259887695,16320.69826563,16650.60546875,17248.0390625,0.1534644
2006,4,Manhattan,15853,154355,1055986,8890.089354583,8275.526367188,8658.904296875,2196.470126794,1973.256103516,2081.853027344,1417.826896739,1484.174194336,1446.333862305,1199.00338236,1141.760742188,1548.876586914,1356.42513289,1402.28125,1172.259887695,17388.01493409,16650.60546875,17248.0390625,0.1027048
